MAICD,disease_group_id,report_group_code,disease_group_name
Z00,304,Z00-Z01,Người tiếp xúc với các dịch vụ y tế làm các khám xét và điều tra - Person encountering health services for examination and investigation
X00,294,X00-X09,"Tai nạn do khói, lửa, đám cháy - expossure to smoke, fire and fpames"
X10,295,X10-X19,Tai nạn do tiếp xúc với các chất nóng - contact with heat and hot
X60,298,X60-X84,Tự tử - Intentional self-harm
X85,299,X85-Y09,Bạo lực đánh nhau - Assault
Z21,305,Z21,Nhiễm HIV không có triệu chứng - Asymptomatic human immuno deficiency virus infection status
Z20,306,"Z20,Z22-Z29",Người có nguy cơ liên quan đến bệnh truyền nhiễm - Other persons with potential health hazards related to communicable diseases
T74,286,T74,Các hội chứng do điều trị xấu - Maltreatment syndromes
Z34,308,Z34-Z36,Giám sát thai nghén và phát hiện trước đẻ - Antenatal screening and other supervision of pregnancy
Z38,309,Z38,Trẻ đẻ ra sống phân theo nơi sinh - Liveborn infants according to place of birth
Z39,310,Z39,Chăm sóc và khám xét sau đẻ - Postpartum care and examination
