disease_target,age_group,target_year,target_month_num,target_season,target_month_sin,target_month_cos,lag_1,lag_2,lag_3,lag_4,lag_5,rolling_3,rolling_5,change_1,last_completed_period,forecast_period,previous_cases,predicted_cases,trend,risk_level,change_percent
"Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",Kh?ng r?,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của khớp - Other joint disorders,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của khớp - Other joint disorders,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của khớp - Other joint disorders,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của khớp - Other joint disorders,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của khớp - Other joint disorders,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,1,0,0.0,0.2,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác của tai và xương chũm - Other diseases of the ear and mastoid process,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders",1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders",11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders",6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders",D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders",Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
"Bệnh lí thai nhi và sơ sinh do biến chứng thai nghén, chửa, đẻ - Fetus and newborn affected by maternal factors and by complications of pregnancy, labour and delivery",D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạch máu ngoại vi khác - Other peripheral vascular disease,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạch máu não khác - Other cerebrovascular diseases,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạch máu não khác - Other cerebrovascular diseases,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạch máu não khác - Other cerebrovascular diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạch máu não khác - Other cerebrovascular diseases,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạch máu não khác - Other cerebrovascular diseases,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,Kh?ng r?,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh thoái hoá khớp - Arthrosis,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh thoái hoá khớp - Arthrosis,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh thấp tim mãn - Chronic rheumatic disease,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh thấp tim mãn - Chronic rheumatic disease,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh thấp tim mãn - Chronic rheumatic disease,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh thấp tim mãn - Chronic rheumatic disease,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tim khác - Other heart diseases,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tim khác - Other heart diseases,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tim khác - Other heart diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tim khác - Other heart diseases,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tim khác - Other heart diseases,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tim thiếu máu cục bộ khác - Other ischaemic heart diseases,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tim thiếu máu cục bộ khác - Other ischaemic heart diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh túi thừa của ruột non - Diverticular disease of intestine,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh túi thừa của ruột non - Diverticular disease of intestine,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh túi thừa của ruột non - Diverticular disease of intestine,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh túi thừa của ruột non - Diverticular disease of intestine,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tăng huyết áp khác - Other hypertensive diseases,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tăng huyết áp khác - Other hypertensive diseases,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh tăng huyết áp khác - Other hypertensive diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh virut khác - Other viral diseases,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,1,1,0,1,0.6666666666666666,0.6,-1,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh virut khác - Other viral diseases,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bỏng và sự ăn mòn - Burnss and corrosions,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bỏng và sự ăn mòn - Burnss and corrosions,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bỏng và sự ăn mòn - Burnss and corrosions,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bỏng và sự ăn mòn - Burnss and corrosions,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Bỏng và sự ăn mòn - Burnss and corrosions,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,Kh?ng r?,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
COVID-19 * U07.1 là bệnh nhân COVID-19 có kết quả xét nghiệm SARS-CoV-2 dương tính cập nhật theo hướng dẫn chẩn đoán và điều trị của Bộ Y tế.,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Chảy máu não - Intracerebral haemorrhage,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Chấn thương dập nát và cắt cụt đã xác định và nhiều vùng trong cơ thể - Fracture of other lim bones,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Chậm phát triển tâm thần - Mental retardation,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Chậm phát triển tâm thần - Mental retardation,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Chậm phát triển tâm thần - Mental retardation,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các biến chứng khác của chửa đẻ - Other complications pregnancy and delivery,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh do vi khuẩn khác - Other bacterial diseases,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh do vi khuẩn khác - Other bacterial diseases,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh do vi khuẩn khác - Other bacterial diseases,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh do vi khuẩn khác - Other bacterial diseases,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,Tr?n 15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của gan - Other diseases of liver,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của gan - Other diseases of liver,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của gan - Other diseases of liver,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của gan - Other diseases of liver,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa,1-5 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa,11-15 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa,6-10 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
Các bệnh khác của mắt và phần phụ mắt - Other diseases of the eye and adnexa,D??i 1 tu?i,2026,6,Mùa mưa,1.2246467991473532e-16,-1.0,0,0,0,0,0,0.0,0.0,0,2026-05,2026-06,0,0,Không đủ dữ liệu,Thấp,
