period,year,month_num,season,disease_target,age_group,case_count
2022-01,2022,1,Mùa khô,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,D??i 1 tu?i,33
2022-01,2022,1,Mùa khô,Động kinh - Epilepsy,11-15 tu?i,1
2022-01,2022,1,Mùa khô,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",1-5 tu?i,9
2022-01,2022,1,Mùa khô,"Ỉa chảy, viêm dạy dày, ruột non có nguồn gốc nhiễm khuẩn - Diarrhoea and gastroenteritis of presumed infectious origin.",D??i 1 tu?i,12
2022-02,2022,2,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,1-5 tu?i,5
2022-02,2022,2,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,6-10 tu?i,5
2022-02,2022,2,Mùa khô,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,D??i 1 tu?i,1
2022-02,2022,2,Mùa khô,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum",6-10 tu?i,4
2022-02,2022,2,Mùa khô,Bệnh virut khác - Other viral diseases,1-5 tu?i,18
2022-02,2022,2,Mùa khô,Bệnh virut khác - Other viral diseases,6-10 tu?i,7
2022-02,2022,2,Mùa khô,Bệnh virut khác - Other viral diseases,D??i 1 tu?i,6
2022-02,2022,2,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,1-5 tu?i,1
2022-02,2022,2,Mùa khô,Các bệnh nhiễm khuẩn ruột khác - Other intestinal infectious diseases,6-10 tu?i,3
2022-02,2022,2,Mùa khô,Các bệnh viêm phổi - Pneumonia,1-5 tu?i,18
2022-02,2022,2,Mùa khô,Các bệnh viêm phổi - Pneumonia,11-15 tu?i,1
2022-02,2022,2,Mùa khô,Các bệnh viêm phổi - Pneumonia,6-10 tu?i,1
2022-02,2022,2,Mùa khô,Các bệnh viêm phổi - Pneumonia,D??i 1 tu?i,7
2022-02,2022,2,Mùa khô,Cúm - Influenza,1-5 tu?i,5
2022-02,2022,2,Mùa khô,Cúm - Influenza,6-10 tu?i,1
2022-02,2022,2,Mùa khô,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,11-15 tu?i,3
2022-02,2022,2,Mùa khô,Gãy các phần khác của chi do lao động và giao thông - Fracture of other lim bones,6-10 tu?i,2
2022-02,2022,2,Mùa khô,Hen - Asthma,11-15 tu?i,1
2022-02,2022,2,Mùa khô,Hen - Asthma,6-10 tu?i,7
2022-02,2022,2,Mùa khô,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,1-5 tu?i,7
2022-02,2022,2,Mùa khô,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,11-15 tu?i,1
2022-02,2022,2,Mùa khô,Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,6-10 tu?i,2
2022-02,2022,2,Mùa khô,Không rõ nhóm bệnh,1-5 tu?i,1
2022-02,2022,2,Mùa khô,Không rõ nhóm bệnh,D??i 1 tu?i,2
2022-02,2022,2,Mùa khô,Thuỷ đậu và zôna - Varicella and Zoster,1-5 tu?i,2
2022-02,2022,2,Mùa khô,Thuỷ đậu và zôna - Varicella and Zoster,11-15 tu?i,1
2022-02,2022,2,Mùa khô,Thuỷ đậu và zôna - Varicella and Zoster,6-10 tu?i,2
