feature,importance
cat__disease_target_Bệnh cầu thận khác - Other glomerular diseases,5e-06
cat__disease_target_Tổn thương các mô mềm - Soft tissue disorders,5e-06
cat__disease_target_U bạch huyết không phải Hodgkin - Non-Hodgkin's lymphoma,5e-06
cat__disease_target_Nhiễm khuẩn và kí sinh vật bẩm sinh - Congenital infectious and parasitic diseases,5e-06
cat__disease_target_Bỏng và sự ăn mòn - Burnss and corrosions,4e-06
cat__disease_target_Hậu quả do dị vật vào hốc tự nhiên - Effects of foreign body entert hrough natural orifice,4e-06
cat__disease_target_Thiếu máu do thiếu sắt - Iron deficiency anaemia,4e-06
cat__disease_target_Đái tháo đường - Diabetes mellitus.,4e-06
cat__disease_target_Bệnh khác của cơ quan sinh dục nam - Other diseases of male genital organs,3e-06
cat__disease_target_U ác não - Malignant neoplasm of brain,3e-06
cat__disease_target_U lành não và các phần khác của hệ thần kinh trung ương - Benign neoplasm of brain and other parts of central nervous system,3e-06
cat__disease_target_Suy thận - Renal failure,3e-06
cat__disease_target_Vỡ xương sọ và các xương mặt - Fracture of skull and facial bones,3e-06
"cat__disease_target_U ác các khu trú khác, khó định nghĩa, thứ phát, không xác định rõ và phức hợp - Malignant neoplasm of other and ill",3e-06
cat__disease_target_U ác gan và đường mật trong gan - Malignant neoplasm of liver and intrahepatic bile ducts,3e-06
cat__disease_target_Gãy xương đùi - Fracture of femur,3e-06
cat__disease_target_Viêm tuỵ cấp và bệnh khác của tuỵ - Acute pancreatitis and other diseases of pancreas,3e-06
cat__disease_target_Nhiễm khuẩn huyết - Septicemia,2e-06
cat__disease_target_Bệnh khác của cột sống - Other dorsopathies,2e-06
cat__disease_target_Các u khác cơ quan hô hấp và lồng ngực - Other malignant neplasm of respiratory and intrathoracic,2e-06
cat__disease_target_Bệnh khác của khớp - Other joint disorders,2e-06
cat__disease_target_Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,2e-06
"cat__disease_target_Tổn thương không viêm của buồng trứng, vòi fallope và dây chằng rộng - Noinflammatory disorders of ovary, fallopian tube and broad ligament",2e-06
cat__disease_target_U ác xương và sụn khớp - Malignant neoplasms of bone and articular cartilage,2e-06
cat__disease_target_U ác các phần khác và không xác định của tử cung - Malignant neoplasms of other and unspecified parts of uterus,2e-06
"cat__disease_target_Thai chậm phát triển, suy dinh dưỡng, rối loạn gắn liền với thai nghén và cân nặng không đủ khi sinh - Slow fetal growth, fetal malnutrition and disorders related to short gestation and low birth weight",2e-06
cat__disease_target_Loét dạ dày và tá tràng - Gastric and duodenal ulcer,2e-06
cat__disease_target_Bệnh tim khác - Other heart diseases,2e-06
cat__disease_target_U buồng trứng lành - Benign neoplasm of ovary,2e-06
cat__disease_target_Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,2e-06
cat__disease_target_Viêm xương tuỷ - Osteomyelitis,2e-06
cat__disease_target_Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,2e-06
