timestamp,phase,memory_used_mib,gpu_utilization_percent
1786204608.718514,launch,0.0,0.0
1786204610.083474,launch,0.0,0.0
1786204611.46821,launch,0.0,0.0
1786204612.8473165,launch,0.0,0.0
1786204614.3713655,ready,8.0,0.0
1786204615.012207,training,6084.0,3.0
1786204615.6328025,training,6084.0,0.0
1786204616.2703128,training,6084.0,0.0
1786204616.9123437,training,6084.0,0.0
1786204617.5481436,training,6084.0,0.0
1786204618.175783,training,6084.0,0.0
1786204618.8155694,training,6084.0,0.0
1786204619.4559658,training,6086.0,55.0
1786204620.1104975,training,6086.0,64.0
1786204620.755906,training,6086.0,69.0
1786204621.3993592,training,6086.0,73.0
1786204622.032603,training,6086.0,71.0
1786204622.66892,training,6086.0,82.0
1786204623.3111162,training,6086.0,70.0
1786204623.957748,training,6086.0,79.0
1786204624.5975018,training,6086.0,75.0
1786204625.2363193,training,6086.0,78.0
1786204625.8730934,training,6086.0,80.0
1786204626.5218372,training,6086.0,84.0
1786204627.1598406,training,6086.0,74.0
1786204627.7946465,training,6086.0,77.0
1786204628.4286473,training,6086.0,77.0
1786204629.0625396,training,6086.0,79.0
1786204629.7065825,training,6086.0,79.0
1786204630.350169,training,6086.0,72.0
1786204630.989407,training,6086.0,79.0
1786204631.6296644,training,6086.0,81.0
1786204632.265833,training,6086.0,77.0
1786204632.8996625,training,6086.0,76.0
1786204633.533176,training,6086.0,78.0
1786204634.174234,training,6086.0,79.0
1786204634.8179436,training,6086.0,80.0
1786204635.4552085,training,6086.0,79.0
1786204636.0934525,training,6086.0,83.0
1786204636.7333996,training,106.0,80.0
