timestamp,phase,memory_used_mib,gpu_utilization_percent
1786204638.7927656,launch,0.0,0.0
1786204640.1611853,launch,0.0,0.0
1786204641.661391,ready,102.0,0.0
1786204642.3041546,training,6086.0,84.0
1786204642.9477246,training,6086.0,63.0
1786204643.5790045,training,6086.0,66.0
1786204644.2144108,training,6086.0,72.0
1786204644.8515737,training,6086.0,76.0
1786204645.492693,training,6086.0,67.0
1786204646.1380322,training,6086.0,74.0
1786204646.7906132,training,6086.0,71.0
1786204647.4271019,training,6086.0,81.0
1786204648.062734,training,6086.0,75.0
1786204648.7117636,training,6086.0,69.0
1786204649.3525975,training,6086.0,73.0
1786204649.994439,training,6086.0,80.0
1786204650.6275427,training,6086.0,79.0
1786204651.2624831,training,6086.0,76.0
1786204651.9024944,training,6086.0,78.0
1786204652.5350916,training,6086.0,80.0
1786204653.174647,training,6086.0,77.0
1786204653.8087323,training,6086.0,79.0
1786204654.4485614,training,6086.0,84.0
1786204655.0905402,training,6086.0,80.0
1786204655.726026,training,6086.0,81.0
1786204656.3880012,training,6086.0,73.0
1786204657.037411,training,6086.0,76.0
1786204657.6859157,training,6086.0,79.0
1786204658.3382175,done,0.0,81.0
