experiment,experiment_label,windows,feature_count,train_rows,validation_rows,started_at,finished_at,training_seconds,best_iteration,tree_count,validation_case_weighted_macro_f1,validation_case_weighted_multiclass_log_loss,validation_case_weighted_top_10_accuracy,validation_case_weighted_top_1_accuracy,validation_case_weighted_top_3_accuracy,validation_case_weighted_top_5_accuracy,validation_case_weighted_weighted_f1,validation_unweighted_macro_f1,validation_unweighted_multiclass_log_loss,validation_unweighted_top_10_accuracy,validation_unweighted_top_1_accuracy,validation_unweighted_top_3_accuracy,validation_unweighted_top_5_accuracy,validation_unweighted_weighted_f1
current_only,A = current_only,1,20,92742,28452,2026-08-07T11:51:30+07:00,2026-08-07T11:58:51+07:00,441.0,160,161,0.00485654222543759,3.800231769026819,0.5304423639798227,0.12710439457787556,0.27064953397131175,0.3698337242853881,0.05482417219354316,0.002860312478017862,4.3693340666460365,0.36703922395613664,0.04720230563756502,0.13521017854632364,0.21323632785041474,0.014832498644507693
current_plus_3d,B = current + 3d,1+3,33,92742,28452,2026-08-07T11:58:52+07:00,2026-08-07T12:06:37+07:00,465.0,170,171,0.004607409401554183,3.785194709492818,0.5342411724409939,0.1327507109791792,0.2718950449421875,0.37392315197309695,0.05272824924965488,0.002733723757500275,4.357612353333301,0.3697806832560101,0.04783495009138198,0.1364403205398566,0.21636440320539857,0.013625225963367358
current_plus_3d_7d,C = current + 3d + 7d,1+3+7,46,92742,28452,2026-08-07T12:06:37+07:00,2026-08-07T13:13:41+07:00,4024.843,183,184,0.00482820573335382,3.779099201945299,0.5420671330413303,0.12851597367820147,0.2734519336557823,0.3763518983663048,0.05421458945181921,0.0030674182814593577,4.3527369670921665,0.3761422747082806,0.04850274145929987,0.13890060452692254,0.21885983410656545,0.016084936509919573
current_plus_3d_7d_14d,D = current + 3d + 7d + 14d,1+3+7+14,59,92742,28452,2026-08-07T13:15:16+07:00,2026-08-07T13:22:40+07:00,444.354,158,159,0.005305637048286283,3.778244465857013,0.5435617462063812,0.13001058684325245,0.2686774749340917,0.3738608764245532,0.06009013278618326,0.0033291790158792843,4.331801526067809,0.37709124138900607,0.0486081822016027,0.13580767608603964,0.21710248840151836,0.018196752265189443
