disease_group_id,disease_group_name,report_group_code,support_level,model_supported,train_support_rows,train_support_case_count,validation_support_rows,validation_support_case_count,validation_recall_top_1,validation_recall_top_5,test_support_rows,test_support_case_count,test_recall_top_1,test_recall_top_5
150,Rối loạn dẫn truyền và loạn nhịp tim - Conduction disorders and cardiac arrhythymias,I44-I49,medium,True,131,131,60,62,0.0,0.0,44,45,0.0,0.0
151,Suy tim - Heart failure,I50,low,True,17,17,13,14,0.0,0.0,15,15,0.0,0.0
152,Bệnh tim khác - Other heart diseases,"I27-I43,I51-I52",low,True,109,113,41,41,0.0,0.0,39,40,0.0,0.0
153,Chảy máu não - Intracerebral haemorrhage,I60-I62,low,True,42,43,21,21,0.0,0.0,21,21,0.0,0.0
154,Nhồi máu não - Cerebral infarction,I63,low,True,38,38,16,16,0.0,0.0,10,10,0.0,0.0
155,"Tai biến mạch máu não, không xác định rõ chảy máu hoặc do nhồi máu - Stroke, not specified as haemorrhage or infarction",I64,insufficient,True,1,1,0,0,,,1,1,0.0,0.0
156,Bệnh mạch máu não khác - Other cerebrovascular diseases,I65-I69,low,True,81,82,34,36,0.0,0.0,19,21,0.0,0.0
158,Bệnh mạch máu ngoại vi khác - Other peripheral vascular disease,I73,insufficient,False,0,0,1,1,0.0,0.0,0,0,,
159,Nghẽn và huyết khối động mạch - Arterial embolism and thrombosis,I74,insufficient,True,5,5,3,3,0.0,0.0,0,0,,
16,Nhiễm khuẩn não mô cầu - Meningococcal infection,A39,insufficient,False,0,0,1,1,0.0,0.0,1,1,0.0,0.0
160,"Bệnh khác của động mạch, tiểu động mạch và mao mạch - Other diseases of arteries, arterioles and capillaries",I71-I72,insufficient,True,3,3,2,2,0.0,0.0,0,0,,
161,"Viêm tĩnh mạch, viêm tĩnh mạch huyết khối, nghẽn mạch và huyết khối tĩnh mạch - Phlebitis, thrombophlebitis,venous embolism and thrombosis",I80-I82,low,True,33,33,17,17,0.0,0.0,7,7,0.0,0.0
164,Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,"I85-I99, I77-I79,I95-I99",medium,True,126,128,62,63,0.0,0.0,35,37,0.0,0.0
165,Viêm họng và viêm amidan cấp - Acute pharyngitis and acute tonsillitis,J02-J03,high,True,3213,7680,1063,2613,0.03138155376961347,0.7244546498277842,1016,2518,0.017077045274027005,0.8308181096108023
166,"Viêm thanh, khí quản cấp - Acute laryngitis and tracheitis",J04,high,True,644,762,218,272,0.0,0.0,232,279,0.0,0.0
167,Viêm cấp đường hô hấp trên khác - Other acute upper respiratory infections,"J00-J01,J05-J06",high,True,1337,1688,384,443,0.0,0.0,529,697,0.0,0.0
168,Cúm - Influenza,J09-J11,insufficient,True,1,1,0,0,,,3,3,0.0,0.0
169,Các bệnh viêm phổi - Pneumonia,J12-J18,high,True,4727,26244,1318,6006,0.845987345987346,0.97002997002997,1363,7398,0.8152203298188699,0.9680994863476615
17,Nhiễm khuẩn huyết - Septicemia,A40-A41,medium,True,313,324,69,74,0.0,0.0,54,54,0.0,0.0
170,Viêm phế quản và viêm tiểu phế quản cấp - Acute bronchitis and acute bronchiolitis,J20-J21,high,True,3311,10004,953,2560,0.066796875,0.755859375,1022,2775,0.06702702702702702,0.7124324324324325
171,Viêm xoang mạn tính - Chronic sinusitis,J32,insufficient,True,7,7,4,4,0.0,0.0,1,1,0.0,0.0
172,Bệnh của mũi và các xoang phụ của mũi - Other diseases of nose and nasal sinuses,"J30-J31,J33-J34",low,True,34,34,14,14,0.0,0.0,22,23,0.0,0.0
173,Bệnh mạn tính của amidan và của VA - Chronic diseases of tonsils and adenoids,J35,high,True,1412,2683,694,1923,0.18408736349453977,0.6073842953718148,409,733,0.005457025920873124,0.20327421555252387
174,Bệnh khác đường hô hấp trên - Other diseases of upper respiratory tract,J36-J39,low,True,31,31,12,12,0.0,0.0,3,3,0.0,0.0
175,"Viêm phế quản tràn khí và các bệnh phổi tắc nghẽn mạn tính - Bronchitis, emphysema and other chronic obstructive diseases",J40-J44,low,True,25,28,1,1,0.0,0.0,2,2,0.0,0.0
176,Hen - Asthma,J45-J46,high,True,2207,4663,582,1022,0.0,0.49217221135029354,622,1162,0.0,0.1351118760757315
179,Bệnh khác của bộ máy hô hấp - Other diseases of respiratory system.,"J22,J61-J99",medium,True,128,129,59,61,0.0,0.0,57,59,0.0,0.0
18,Các bệnh do vi khuẩn khác - Other bacterial diseases,"A21-A22,A24-A28,A31-A32,A38,A42-A49",insufficient,True,7,7,1,1,0.0,0.0,1,1,0.0,0.0
180,Sâu răng - Dental caries,K02,insufficient,True,1,1,0,0,,,1,1,0.0,0.0
181,Tổn thương khác liên quan đến răng và mô quanh răng - Other disorders of teeth and supporting structures,"K03-K08,K00-K01",low,True,102,105,32,34,0.0,0.0,30,30,0.0,0.0
182,"Bệnh khác của khoang miệng, tuyến nước bọt và hàm - Other diseases of the oral cavity, salivary glands and jaws",K09-K14,high,True,823,959,318,385,0.0,0.0,231,283,0.0,0.0
183,Loét dạ dày và tá tràng - Gastric and duodenal ulcer,K25-K27,medium,True,217,234,58,61,0.0,0.03278688524590164,62,66,0.0,0.0
184,Viêm dạ dày và tá tràng - Gastritis and duodenitis,K29,high,True,1005,1347,451,674,0.002967359050445104,0.20474777448071216,392,584,0.0,0.17123287671232876
185,"Bệnh khác của thực quản, dạ dày và tá tràng - Other diseases of oesophagus, stomach, duodenum","K20-K23,K28,K30-K31",high,True,2051,2657,433,493,0.0,0.010141987829614604,373,425,0.0,0.004705882352941176
186,Bệnh của ruột thừa - Diseases of appendix,K35-K38,high,True,1519,1877,373,440,0.056818181818181816,0.34545454545454546,373,457,0.015317286652078774,0.3916849015317287
187,Thoát vị bẹn - Inguinal hernia,K40,high,True,1669,2462,515,793,0.0,0.0,460,694,0.0,0.004322766570605188
188,Các thoát vị khác - Other hernia,K41-K46,low,True,130,131,27,27,0.0,0.0,22,22,0.0,0.0
189,Bệnh Crohn (viêm ruột non từng vùng) và viêm loét đại tràng - Crohn’s disease and ulcerative colitis,K50-K51,medium,True,118,120,64,66,0.0,0.0,49,50,0.0,0.0
19,Giang mai bẩm sinh - Congenital syphilis,A49,insufficient,True,19,19,7,7,0.0,0.0,8,8,0.0,0.0
190,"Tắc liệt ruột và tắc ruột không do thoát vị - Paralytic ileus, intestinal obstruction without hernia",K56,high,True,1714,2865,478,675,0.0,0.044444444444444446,400,578,0.0,0.10726643598615918
191,Bệnh túi thừa của ruột non - Diverticular disease of intestine,K57,insufficient,True,4,4,1,1,0.0,0.0,4,4,0.0,0.0
192,Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,"K52-K55,K58-K67",high,True,1047,1153,247,291,0.0,0.0,218,239,0.0,0.0
194,Các bệnh khác của gan - Other diseases of liver,K71-K77,high,True,969,1129,287,351,0.0,0.0,282,333,0.0,0.0
195,Sỏi mật và viêm túi mật - Cholelithiasis and cholecystitis,K80-K81,low,True,60,60,26,26,0.0,0.0,21,21,0.0,0.0
196,Viêm tuỵ cấp và bệnh khác của tuỵ - Acute pancreatitis and other diseases of pancreas,K85-K86,medium,True,285,292,73,74,0.0,0.0,82,84,0.0,0.0
197,Bệnh khác của bộ máy tiêu hoá - Other diseases of the digestive system,"K87-K93,K82-K83",medium,True,559,589,177,187,0.0,0.0,146,155,0.0,0.0
198,Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,L00-L08,high,True,1470,1694,425,499,0.0,0.0,372,413,0.0,0.0
199,Bệnh khác của da và mô tế bào dưới da - Other diseases of skin and subcutaneous tissue,L10-L99,high,True,1624,2015,589,767,0.001303780964797914,0.03650586701434159,506,628,0.0,0.0
2,"Thương hàn, phó thương hàn - Typhoid and paratyphoid fevers",A01,insufficient,False,0,0,1,1,0.0,0.0,1,1,0.0,0.0
20,"Giang mai sớm (Giang mai I, II và kín) - Early syphilis",A50,low,True,23,23,11,11,0.0,0.0,11,11,0.0,0.0
200,"Viêm khớp dạng thấp và viêm khớp khác - Rheumatoid arthritis, other inflamatory polyarthropaties",M05-M14,high,True,513,585,206,257,0.007782101167315175,0.14396887159533073,212,251,0.0,0.099601593625498
201,Bệnh thoái hoá khớp - Arthrosis,M15-M19,insufficient,True,2,2,1,1,0.0,0.0,1,1,0.0,0.0
202,Biến dạng các chi mắc phải - Accquired deformities of limbs,M20-M21,low,True,24,25,9,9,0.0,0.0,9,9,0.0,0.0
203,Bệnh khác của khớp - Other joint disorders,"M00-M03,M22-M25",medium,True,201,207,72,73,0.0,0.0,42,42,0.0,0.0
204,Bệnh của hệ thống tổ chức liên kết - Systematic connective tissue disorders,M30-M36,high,True,1202,1485,354,427,0.20140515222482436,0.4309133489461358,326,389,0.14910025706940874,0.4241645244215938
205,Trật đốt sống cổ và các đốt sống khác - Cervical and other interverbral disc disorders,M50-M51,insufficient,True,8,8,0,0,,,0,0,,
206,Bệnh khác của cột sống - Other dorsopathies,"M40-M49,M53-M54",medium,True,163,170,56,62,0.0,0.0,22,22,0.0,0.0
207,Tổn thương các mô mềm - Soft tissue disorders,M60-M79,medium,True,434,470,137,154,0.0,0.0,133,145,0.0,0.0
208,Di tật về mật độ và cấu trúc của xương - Disorders of bone density and structure,M80-M85,low,True,32,32,13,14,0.0,0.0,58,58,0.0,0.0
209,Viêm xương tuỷ - Osteomyelitis,M86,medium,True,154,158,37,38,0.0,0.0,34,34,0.0,0.0
210,"Bệnh khác của hệ xương khớp, cơ và mô liên kết - Other diseases of the musculo-skeletal system and connective tissue",M87-M99,low,True,44,44,10,10,0.0,0.0,6,6,0.0,0.0
211,Hội chứng viêm thận cấp và tiến triển nhanh - Acute and rapidly prograssive nephritis syndromes,N00-N01,low,True,70,71,33,34,0.0,0.0,38,39,0.0,0.0
212,Bệnh cầu thận khác - Other glomerular diseases,N02-N08,high,True,710,788,228,256,0.0,0.00390625,249,282,0.0,0.0035460992907801418
213,Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,N10-N16,low,True,71,71,12,12,0.0,0.0,10,10,0.0,0.0
214,Suy thận - Renal failure,N17-N19,medium,True,369,394,139,144,0.0,0.0763888888888889,131,144,0.0,0.027777777777777776
215,Sỏi tiết niệu - Urolithiasis,N20-N23,medium,True,138,138,26,26,0.0,0.0,36,37,0.0,0.0
216,Viêm bàng quang - Cystitis,N30,low,True,46,46,12,13,0.0,0.0,5,5,0.0,0.0
217,Bệnh khác của bộ máy tiết niệu - Other diseases of the urnary system,"N25-N29,N31-N39",high,True,941,1027,302,335,0.0,0.0,240,265,0.0,0.0
218,Quá sản tuyến tiền liệt - Hyperplasia of prostate,N40,insufficient,True,2,2,0,0,,,0,0,,
