horizon,conclusion,validation_mean_positive_diseases,validation_median_positive_diseases,zero_positive_validation_queries,with_weather_best_iteration,no_weather_best_iteration,with_weather_training_seconds,no_weather_training_seconds,with_weather_precision_at_5,no_weather_precision_at_5,baseline_precision_at_5,weather_minus_no_weather_precision_at_5,weather_minus_baseline_precision_at_5,with_weather_recall_at_5,no_weather_recall_at_5,baseline_recall_at_5,weather_minus_no_weather_recall_at_5,weather_minus_baseline_recall_at_5,with_weather_ndcg_at_5,no_weather_ndcg_at_5,baseline_ndcg_at_5,weather_minus_no_weather_ndcg_at_5,weather_minus_baseline_ndcg_at_5,with_weather_precision_at_10,no_weather_precision_at_10,baseline_precision_at_10,weather_minus_no_weather_precision_at_10,weather_minus_baseline_precision_at_10,with_weather_recall_at_10,no_weather_recall_at_10,baseline_recall_at_10,weather_minus_no_weather_recall_at_10,weather_minus_baseline_recall_at_10,with_weather_ndcg_at_10,no_weather_ndcg_at_10,baseline_ndcg_at_10,weather_minus_no_weather_ndcg_at_10,weather_minus_baseline_ndcg_at_10
H3,H3_WEATHER_PROMISING,20.723799126637555,24.0,470,18.0,15.0,22.39397700014524,16.326553500024602,0.72756804214223,0.7166812993854259,0.7187006145741879,0.010886742756804124,0.008867427568042152,0.15871978659054872,0.15640450019748453,0.15717690178359117,0.002315286393064192,0.0015428848069575507,0.7364150416140595,0.7217078928271112,0.7245108100900556,0.014707148786948232,0.011904231524003883,0.6813432835820896,0.680772607550483,0.6696224758560141,0.0005706760316066539,0.011720807726075533,0.2898940262094893,0.2905221645493612,0.28559002351066576,-0.0006281383398719087,0.004304002698823528,0.7168244362579902,0.7122063476922912,0.7049101682227532,0.004618088565699008,0.011914268035236986
H7,H7_MODEL_GOOD_BUT_WEATHER_WEAK,32.574599708879184,40.0,451,15.0,16.0,37.893465699860826,36.81115209986456,0.8179364388332608,0.8127993034392686,0.8154114061819765,0.005137135393992187,0.0025250326512843424,0.1224205292970108,0.1234306708545417,0.1252413573091849,-0.0010101415575308886,-0.0028208280121740925,0.8259419222671267,0.8233455176837856,0.8154463144981162,0.0025964045833410943,0.010495607769010484,0.8052242054854158,0.804309969525468,0.7875925119721375,0.0009142359599478844,0.017631693513278313,0.2329885151133321,0.2334550459716459,0.2284904058406144,-0.0004665308583138017,0.00449810927271771,0.8246646739264742,0.8249255872415832,0.8067488619070685,-0.0002609133151089127,0.01791581201940573
H14,H14_MODEL_GOOD_BUT_WEATHER_WEAK,43.682678311499274,54.0,444,13.0,16.0,16.41185489995405,17.048145999899134,0.8806423611111112,0.8823784722222222,0.8696180555555555,-0.0017361111111110494,0.011024305555555669,0.10332076561517439,0.10386113546100287,0.10492609396010649,-0.0005403698458284756,-0.0016053283449320999,0.8833119340170443,0.885608767017371,0.8683649120070331,-0.0022968330003266813,0.01494702201001119,0.8638020833333333,0.8715277777777778,0.8466145833333333,-0.007725694444444486,0.017187500000000022,0.19235022473519292,0.19757980309559123,0.1899644575134541,-0.005229578360398307,0.0023857672217388326,0.8724426812765242,0.8784406248417392,0.8560425075516558,-0.0059979435652149915,0.01640017372486846
