feature,importance
cat__disease_target_U da lành - Benign neoplasm of skin,4.584438386116582e-06
cat__disease_target_Sứt môi và hở hàm ếch - Cleft lip and cleft palate,4.346200905390665e-06
cat__disease_target_Tổn thương các mô mềm - Soft tissue disorders,4.110352157050916e-06
cat__disease_target_Dị dạng bẩm sinh khác của hệ xương và cơ - Other congenital malformations and deformations of the musculo skeletal system,3.96768736795922e-06
cat__disease_target_U lành não và các phần khác của hệ thần kinh trung ương - Benign neoplasm of brain and other parts of central nervous system,3.6579019703727884e-06
cat__disease_target_Đái tháo đường - Diabetes mellitus.,3.6352916206685625e-06
cat__disease_target_Bệnh khác của cột sống - Other dorsopathies,3.559727508258682e-06
cat__disease_target_Bệnh khác của bộ máy tiết niệu - Other diseases of the urnary system,3.5371447070706502e-06
cat__disease_target_Bệnh của ruột thừa - Diseases of appendix,3.4078425695334414e-06
cat__disease_target_Viêm tuỵ cấp và bệnh khác của tuỵ - Acute pancreatitis and other diseases of pancreas,3.361400061129939e-06
cat__disease_target_U ác não - Malignant neoplasm of brain,3.1942605091170983e-06
cat__disease_target_Bệnh khác của ruột non và màng bụng - Other diseases of intestine peritoneum,3.186970033210587e-06
cat__disease_target_U ác các phần khác và không xác định của tử cung - Malignant neoplasms of other and unspecified parts of uterus,2.8701783114012453e-06
cat__disease_target_Vỡ xương sọ và các xương mặt - Fracture of skull and facial bones,2.8511225649382912e-06
cat__disease_target_Bệnh nhiễm khuẩn da và mô tế bào dưới da - Infections of skin and subcutaneous tissue,2.8427012123770034e-06
"cat__disease_target_U ác các khu trú khác, khó định nghĩa, thứ phát, không xác định rõ và phức hợp - Malignant neoplasm of other and ill",2.761057380913971e-06
cat__disease_target_Động kinh - Epilepsy,2.7504312136430323e-06
cat__disease_target_Thiếu máu do thiếu sắt - Iron deficiency anaemia,2.4732453967779877e-06
"cat__disease_target_Viêm khớp dạng thấp và viêm khớp khác - Rheumatoid arthritis, other inflamatory polyarthropaties",2.4143882364327807e-06
"cat__disease_target_Bệnh khác về nội tiết, dinh dưỡng và chuyển hoá - Other endocrine, nutritional and metabolic disorders",2.412824253146217e-06
cat__disease_target_Suy thận - Renal failure,2.114555819194584e-06
cat__disease_target_Bệnh khác của cơ quan sinh dục nam - Other diseases of male genital organs,2.0364576727297164e-06
cat__disease_target_Bệnh khác của khớp - Other joint disorders,1.8466394010573023e-06
cat__disease_target_U ác xương và sụn khớp - Malignant neoplasms of bone and articular cartilage,1.8299564456205109e-06
cat__disease_target_U ác gan và đường mật trong gan - Malignant neoplasm of liver and intrahepatic bile ducts,1.827658785967922e-06
cat__disease_target_Bệnh khác của bộ máy hô hấp - Other diseases of respiratory system.,1.6703606794600364e-06
cat__disease_target_Dị dạng bẩm sinh bàn chân - Congenital deformities of feet,1.5962775785188685e-06
cat__disease_target_Gãy xương đùi - Fracture of femur,1.5525497947545869e-06
cat__disease_target_Hậu quả của các nguyên nhân bên ngoài khác và không xác định - Other and unspecified effects of external causes,1.4783950669630108e-06
"cat__disease_target_Một số biến chứng sớm của chấn thương, của chăm sóc ngoại khoa và y học, chưa xếp ở nơi khác - Certain early complications of trauma and complications of surgical and medical care, not elsewhere classified",1.4518195569286924e-06
"cat__disease_target_Viêm tai giữa, bệnh khác của tai giữa và xương chũm - Otitis media and other disorders of middle ear and mastoid",1.4103640940326777e-06
cat__disease_target_Các bệnh khác của bộ máy tuần hoàn - Other diseases of the circulatory system,1.3716475256907626e-06
cat__disease_target_U buồng trứng lành - Benign neoplasm of ovary,1.3486724796463555e-06
cat__disease_target_Rối loạn dẫn truyền và loạn nhịp tim - Conduction disorders and cardiac arrhythymias,1.3068423133174258e-06
cat__disease_target_Các u khác cơ quan hô hấp và lồng ngực - Other malignant neplasm of respiratory and intrathoracic,1.3052514781503748e-06
cat__disease_target_Bệnh tim khác - Other heart diseases,1.2481859206623587e-06
cat__disease_target_Sỏi tiết niệu - Urolithiasis,1.2388608712298974e-06
cat__disease_target_Bệnh cầu thận khác - Other glomerular diseases,1.2180659634152339e-06
cat__disease_target_Dị tật bẩm sinh khác của hệ thần kinh - Other congenital malforma,1.139717760286672e-06
cat__disease_target_Các thoát vị khác - Other hernia,1.085944736423989e-06
cat__disease_target_Tổn thương khác liên quan đến răng và mô quanh răng - Other disorders of teeth and supporting structures,1.0581346927644328e-06
"cat__disease_target_Loạn thần kinh, rối loạn gắn liền với các yếu tố stress và các rối loạn thuộc thân thể - Neurotic, sterss - related and somatoform disorders",1.0123195807816775e-06
cat__disease_target_Đau nửa đầu và các hội chứng đau đầu khác - Migraine and other headache syndromes.,9.377866131476482e-07
cat__disease_target_Bệnh nhiễm khuẩn và kí sinh vật khác - Other infectious and parasitic diseases,9.134771528851057e-07
cat__disease_target_Bệnh Crohn (viêm ruột non từng vùng) và viêm loét đại tràng - Crohn’s disease and ulcerative colitis,9.133807432177447e-07
cat__disease_target_Bệnh do tiếp xúc với dịch vụ y tế vì những lý do khác - Person encoutering health services for other reasons,9.108669621770822e-07
cat__disease_target_Rối loạn tâm thần và nhân cách khác - Other mental and behavioural disorders,8.860243193719621e-07
cat__disease_target_Thuỷ đậu và zôna - Varicella and Zoster,8.229793428968739e-07
"cat__disease_target_Tổn thương thần kinh, rễ và đám rối thần kinh - Nerve, nerve root and plexus disorders",8.206053285360855e-07
cat__disease_target_Thương tổn do chấn thương các nội tạng khác - Injury of other internal organs,7.382751412981073e-07
cat__disease_target_Bệnh ống thận kẽ - Renal tubulo-interstitial diseases,7.365568160574921e-07
cat__disease_target_Tác hại của các chất có nguồn gốc chủ yếu không phải thuốc - Toxic effects of substances chiefly nonmedical as to source,7.113276645380822e-07
"cat__disease_target_U ác limphô khác, cơ quan tạo máu và tổ chức có liên quan - Other malignant neoplasms of lymphoid, haematopoietic and related tissue",7.00773355565106e-07
cat__disease_target_U ác bàng quang - Malignant neoplasm of bladder,6.845245559867745e-07
cat__disease_target_Tăng huyết áp nguyên phát - Essential (primary) hypertension,6.534624392532806e-07
cat__disease_target_Bệnh Hodgkin - Hodgkin disease,6.344725704796011e-07
cat__disease_target_Viêm xương tuỷ - Osteomyelitis,6.34077937480563e-07
cat__disease_target_Một số rối loạn hệ miễn dịch - Certain disorders involving the immune mechanism,6.296972081696159e-07
cat__disease_target_Viêm bàng quang - Cystitis,6.282969655227241e-07
cat__disease_target_Bệnh mạch máu não khác - Other cerebrovascular diseases,6.170920386533149e-07
cat__disease_target_Nhồi máu não - Cerebral infarction,5.837726028786415e-07
"cat__disease_target_Tràn dịch tinh mạc, u nang tinh dịch - Hydrocele and spermatocele",5.702311800081478e-07
cat__disease_target_Nhiễm khuẩn đặc hiệu khác thời kỳ chu sinh - Other infectious specific to the perinatal period,5.625605950237187e-07
cat__disease_target_Chảy máu não - Intracerebral haemorrhage,5.60229194623756e-07
cat__disease_target_Bệnh khác của bộ máy sinh dục tiết niệu - Other disorders of genitourinary tract,5.144280492628784e-07
cat__disease_target_Sốt Rickettsia - Typhus fever,4.7493937542724464e-07
cat__disease_target_Bệnh của mũi và các xoang phụ của mũi - Other diseases of nose and nasal sinuses,4.5271560118542824e-07
cat__disease_target_Tổn thương khác của tuyến giáp - Other disorders of thyroid.,4.375843994057958e-07
cat__disease_target_Tai nạn do các nguyên nhân sức mạnh cơ học và không cố ý - exposure to inanimate mechanical forces,4.3485756100037943e-07
cat__disease_target_U ác khác của cơ quan sinh dục nam - Other malignant neoplasms of male genital organs,4.236346602091021e-07
cat__disease_target_Chậm phát triển tâm thần - Mental retardation,4.120706638802244e-07
cat__disease_target_Sốt không rõ nguyên nhân - Fever of unknown origin,3.831474529750893e-07
"cat__disease_target_Tổn thương không viêm của buồng trứng, vòi fallope và dây chằng rộng - Noinflammatory disorders of ovary, fallopian tube and broad ligament",3.7982369240570106e-07
cat__disease_target_Bạo lực đánh nhau - Assault,3.78999129930331e-07
cat__disease_target_Loét dạ dày và tá tràng - Gastric and duodenal ulcer,3.7317795932412427e-07
cat__disease_target_Suy dinh dưỡng - Malnutrition,3.7300067252409435e-07
cat__disease_target_Hội chứng viêm thận cấp và tiến triển nhanh - Acute and rapidly prograssive nephritis syndromes,3.674378902894379e-07
cat__disease_target_Sỏi mật và viêm túi mật - Cholelithiasis and cholecystitis,3.645234033487934e-07
cat__disease_target_Các dạng lao khác - Other tuberculosis,3.522067226345457e-07
cat__disease_target_U vú lành - Benign neoplasm of breast,3.320167807980157e-07
"cat__disease_target_Viêm tĩnh mạch, viêm tĩnh mạch huyết khối, nghẽn mạch và huyết khối tĩnh mạch - Phlebitis, thrombophlebitis,venous embolism and thrombosis",3.1771532632440425e-07
cat__disease_target_Viêm mi mắt - Inflammation of eyelid,2.9252594831949443e-07
"cat__disease_target_U ác môi, khoang miệng, họng - Malignant neoplasm of lip, oral cavity and pharynx",2.8969249764245003e-07
